date,code,close,pctChg,a20,a50
2018/5/14,sh.000300,3909.293,0.9413,3815.471,3918.78558
2018/5/15,sh.000300,3924.097,0.3787,3818.11865,3916.7947
2018/5/16,sh.000300,3892.844,-0.7964,3822.3177,3913.66986
2018/5/17,sh.000300,3864.05,-0.7397,3828.08815,3910.62164
2018/5/18,sh.000300,3903.063,1.0096,3834.9272,3908.32096
2018/5/21,sh.000300,3921.242,0.4658,3840.39715,3905.41452
2018/5/22,sh.000300,3906.208,-0.3834,3847.66485,3902.80562
2018/5/23,sh.000300,3854.582,-1.3216,3852.0777,3898.34526
2018/5/24,sh.000300,3827.217,-0.7099,3851.26415,3892.7123
2018/5/25,sh.000300,3816.498,-0.2801,3850.654,3886.48894
2018/5/28,sh.000300,3833.259,0.4392,3854.54225,3881.32906
2018/5/29,sh.000300,3804.009,-0.7631,3856.8989,3875.94236
2018/5/30,sh.000300,3723.372,-2.1198,3854.8852,3868.48656
2018/5/31,sh.000300,3802.375,2.1218,3855.35395,3863.40562
2018/6/1,sh.000300,3770.589,-0.8359,3855.1535,3857.33246
2018/6/4,sh.000300,3807.578,0.981,3853.82305,3851.92994
2018/6/5,sh.000300,3845.316,0.9911,3852.15505,3847.61526
2018/6/6,sh.000300,3837.351,-0.2071,3850.44185,3843.9553
2018/6/7,sh.000300,3831.012,-0.1652,3847.33965,3842.47684
2018/6/8,sh.000300,3779.615,-1.3416,3842.6785,3840.47128
2018/6/11,sh.000300,3779.981,0.0097,3836.2129,3837.80554
2018/6/12,sh.000300,3825.953,1.2162,3831.3057,3837.4703
2018/6/13,sh.000300,3788.339,-0.9831,3826.08045,3835.3561
2018/6/14,sh.000300,3773.365,-0.3953,3821.5462,3832.85346
2018/6/15,sh.000300,3753.433,-0.5282,3814.0647,3830.18376
2018/6/19,sh.000300,3621.116,-3.5252,3799.0584,3825.3565
2018/6/20,sh.000300,3635.443,0.3957,3785.52015,3820.96812
2018/6/21,sh.000300,3592.965,-1.1684,3772.4393,3815.76884
2018/6/22,sh.000300,3608.904,0.4436,3761.52365,3809.40348
2018/6/25,sh.000300,3560.477,-1.3419,3748.7226,3801.84616
2018/6/26,sh.000300,3531.111,-0.8248,3733.6152,3794.49568
2018/6/27,sh.000300,3459.262,-2.0347,3716.37785,3786.25804
2018/6/28,sh.000300,3423.525,-1.0331,3701.3855,3778.55128
2018/6/29,sh.000300,3510.984,2.5546,3686.81595,3773.79814
2018/7/2,sh.000300,3407.963,-2.9342,3668.68465,3766.63176
2018/7/3,sh.000300,3409.28,0.0386,3648.76975,3758.5805
2018/7/4,sh.000300,3363.747,-1.3356,3624.6913,3750.63836
2018/7/5,sh.000300,3342.437,-0.6335,3599.9456,3742.1606
2018/7/6,sh.000300,3365.122,0.6787,3576.6511,3732.59328
2018/7/9,sh.000300,3459.183,2.7952,3560.6295,3725.20292
2018/7/10,sh.000300,3467.515,0.2409,3545.0062,3719.44334
2018/7/11,sh.000300,3407.529,-1.7299,3524.085,3712.4564
2018/7/12,sh.000300,3481.055,2.1577,3508.7208,3706.80458
2018/7/13,sh.000300,3492.689,0.3342,3494.687,3700.79836
2018/7/16,sh.000300,3472.085,-0.5899,3480.6196,3694.7481
2018/7/17,sh.000300,3449.377,-0.654,3472.03265,3687.0519
2018/7/18,sh.000300,3431.322,-0.5234,3461.8266,3678.10482
2018/7/19,sh.000300,3428.343,-0.0868,3453.5955,3669.23938
2018/7/20,sh.000300,3492.893,1.8828,3447.79495,3661.23612
2018/7/23,sh.000300,3525.75,0.9407,3446.0586,3654.29436
2018/7/24,sh.000300,3581.705,1.587,3448.5883,3647.7426
2018/7/25,sh.000300,3577.752,-0.1104,3454.5128,3640.8157
2018/7/26,sh.000300,3536.245,-1.1601,3460.1488,3633.68372
2018/7/27,sh.000300,3521.226,-0.4247,3460.6609,3626.82724
2018/7/30,sh.000300,3515.079,-0.1746,3466.0167,3619.06756
2018/7/31,sh.000300,3517.656,0.0733,3471.4355,3610.99584
2018/8/1,sh.000300,3447.388,-1.9976,3475.61755,3601.81944
2018/8/2,sh.000300,3370.957,-2.2171,3477.04355,3592.14694
2018/8/3,sh.000300,3315.283,-1.6516,3474.5516,3581.90826
2018/8/6,sh.000300,3273.272,-1.2672,3465.25605,3571.04374
2018/8/7,sh.000300,3368.869,2.9205,3460.32375,3561.75594
2018/8/8,sh.000300,3314.507,-1.6137,3455.67265,3551.9659
2018/8/9,sh.000300,3397.529,2.5048,3451.49635,3545.44904
2018/8/10,sh.000300,3405.019,0.2205,3447.11285,3537.50192
2018/8/13,sh.000300,3390.344,-0.431,3443.0258,3529.89702
2018/8/14,sh.000300,3372.913,-0.5141,3439.2026,3521.20372
2018/8/15,sh.000300,3291.976,-2.3996,3432.2353,3510.13692
2018/8/16,sh.000300,3276.727,-0.4632,3424.6545,3498.92444
2018/8/17,sh.000300,3229.619,-1.4377,3411.4908,3486.89658
2018/8/20,sh.000300,3267.249,1.1652,3398.56575,3476.64926
2018/8/21,sh.000300,3326.648,1.818,3385.8129,3467.5826
2018/8/22,sh.000300,3307.954,-0.5619,3372.323,3457.22262
2018/8/23,sh.000300,3320.025,0.3649,3361.512,3447.85634
2018/8/24,sh.000300,3325.334,0.1599,3351.7174,3438.89572
2018/8/27,sh.000300,3406.573,2.443,3346.2921,3431.95852
2018/8/28,sh.000300,3400.17,-0.188,3340.4178,3427.5396
2018/8/29,sh.000300,3386.573,-0.3999,3337.37705,3422.5622
2018/8/30,sh.000300,3351.094,-1.0476,3336.3839,3417.72478
2018/8/31,sh.000300,3334.503,-0.4951,3337.3449,3412.23676
2018/9/3,sh.000300,3321.824,-0.3802,3339.7725,3407.4637
2018/9/4,sh.000300,3363.898,1.2666,3339.52395,3404.11944
2018/9/5,sh.000300,3298.141,-1.9548,3338.70565,3400.89702
2018/9/6,sh.000300,3262.88,-1.0691,3331.9732,3397.68412
2018/9/7,sh.000300,3277.643,0.4525,3325.6044,3393.0173
2018/9/10,sh.000300,3230.068,-1.4515,3317.5906,3389.4594
2018/9/11,sh.000300,3224.211,-0.1813,3310.1555,3385.75802
2018/9/12,sh.000300,3202.024,-0.6881,3305.6579,3382.52356
2018/9/13,sh.000300,3236.566,1.0788,3303.64985,3380.40614
2018/9/14,sh.000300,3242.09,0.1707,3304.2734,3377.9455
2018/9/17,sh.000300,3204.922,-1.1464,3301.15705,3372.86028
2018/9/18,sh.000300,3269.431,2.0128,3298.2962,3368.8986
2018/9/19,sh.000300,3312.482,1.3168,3298.5226,3366.99766
2018/9/20,sh.000300,3310.125,-0.0712,3298.0276,3363.57906
2018/9/21,sh.000300,3410.485,3.0319,3302.28515,3361.93498
2018/9/25,sh.000300,3379.804,-0.8996,3300.9467,3360.08936
2018/9/26,sh.000300,3417.241,1.1077,3301.80025,3359.44664
2018/9/27,sh.000300,3403.59,-0.3995,3302.6511,3358.892
